sid,ticker,name,sector,subindustry,market_cap,last_price,pe,roe,pb,4w_return_pct,1d_return_pct
WNDT,WENDT,Wendt (India) Limited,Industrials,Industrial Machinery,1355.8,6779.0,34.34143870314083,17.323387450636243,5.563625918174731,-14.86342229199372,-1.8745024245494681
SURAK,SURAKSHA,Suraksha Diagnostic Ltd,Health Care,Hospitals & Diagnostic Centres,1355.40172695,260.25,42.56914971576631,16.354204119369264,6.4472326830138424,-3.842601145390718,-1.158374477782002
OMAX,OMAXE,Omaxe Ltd,Real Estate,Real Estate,1354.56139924,74.06,-1.974579299183674,-251.54926478676978,-22.587316979156487,-14.873563218390801,-5.02692998204668
SALA,SALASAR,Salasar Techno Engineering Ltd,Materials,Iron & Steel,1352.91352446,7.74,70.83316881989478,3.0888905061090712,1.7212859253425612,-15.13157894736841,-2.763819095477384
RDBR,RDBIPL,RDB Infrastructure and Power Ltd,Real Estate,Real Estate,1352.817696,66.19,244.19091985559564,6.087577605626066,9.356232768517877,7.032258064516128,-0.8983380745620728
MANC,MANAKCOAT,Manaksia Coated Metals & Industries Ltd,Materials,Metals - Diversified,1345.46827765,127.13,87.36806997727244,8.12514838947954,5.935016663652402,-3.645596483249964,-1.173818407960192
ZSAR,ZSARACOM,Saraswati Commercial (India) Ltd,Financials,Specialized Finance,1345.13106792,12273.9,25.175576790567092,6.3815683393948115,1.3827132130507187,-2.8066257067148235,0.2904803343587924
BLUE,BLUECLOUDS,Blue Cloud Softech Solutions Ltd,Information Technology,Software Services,1344.250656,17.85,30.35796422764223,44.48462929475594,11.036540689655169,-21.625163826998687,2.1751574127075135
SPML,SPMLINFRA,SPML Infra Ltd,Industrials,Construction & Engineering,1335.850681065,174.39,27.870867537346115,7.770626286863057,1.7345781635113549,-0.26878645773763427,1.8871231596167268
VINYA,VINYAS,Vinyas Innovative Technologies Ltd,Information Technology,Electronic Equipments,1334.79896319,1060.65,68.6978364997429,14.123718834048072,9.083354632119768,-7.929687499999992,1.721492279658583
LAXI,LGHL,Laxmi Goldorna House Ltd,Consumer Discretionary,"Precious Metals, Jewellery & Watches",1333.4639472,266.2,126.39468693838863,19.101937352887923,20.508519643186705,-7.793557325943887,-1.6441899131719893
SERO,SERVOTECH,Servotech Renewable Power System Ltd,Industrials,Electrical Components & Equipments,1331.35832646,58.95,40.689435405256646,17.23465894126946,5.603359959848486,-25.811729171910386,0.18694765465669516
DCWL,DCW,DCW Ltd,Materials,Commodity Chemicals,1325.8363363639999,44.92,43.77142081096075,2.934494601363099,1.283866732866591,-24.377104377104374,-2.875675675675672
DENN,DEN,DEN Networks Ltd,Communication Services,Cable & D2H,1323.02541135,27.75,6.613143113815856,5.6171935651883365,0.3615169241184267,-12.29456384323641,-1.0695187165775426
ARF,ARFIN,Arfin India Ltd,Materials,Metals - Aluminium,1321.771923988,77.26,144.6139960599564,7.221300466145208,8.430743232478632,10.402972277793657,3.261160117615627
VMA,VMARCIND,V-Marc India Ltd,Industrials,Electrical Components & Equipments,1318.35127356,539.85,36.529544847880295,24.387606852045817,6.958834909263658,-24.916550764951317,-5.4636196480168
MCLO,MCLOUD,Magellanic Cloud Ltd,Information Technology,IT Services & Consulting,1313.6196776,22.3,12.790843988315466,22.210207612456777,2.5365819174696345,-15.689981096408314,0.1347103726987029
TAC,TAC,TAC Infosec Ltd,Information Technology,IT Services & Consulting,1309.934752,623.0,90.84152233009706,40.98337359670315,23.291869701280223,-19.096162586845008,-4.131722705239674
GOCL,GOCLCORP,Gocl Corporation Ltd,Materials,Commodity Chemicals,1309.45732335,264.15,8.328821545286857,10.497394346683762,0.8306683773368265,-9.133126934984524,0.4754659566375048
HARIO,HARIOMPIPE,Hariom Pipe Industries Ltd,Industrials,Building Products - Pipes,1304.65188557,421.3,21.138235346241032,11.876539408867027,2.2728730955384044,21.04582674903031,0.9222661396574495
ELP,ELPROINTL,Elpro International Ltd,Real Estate,Real Estate,1300.92180188,76.76,19.675163367816076,3.6291384912619677,0.6388341199567864,-9.859154929577471,-0.8524928958925299
FINK,FINKURVE,Finkurve Financial Services Ltd,Financials,Diversified Financials,1298.9682762,88.96,74.61046962665135,8.812958744621614,6.2937558806143725,-13.108028911896858,8.567244325115933
CIF,CIFL,Capital India Finance Ltd,Financials,Diversified Financials,1297.1337471,32.93,836.8604820000197,0.23615269175978904,1.9857836639059412,-15.041279669762638,-0.7235453723243954
IFGL,IFGLEXPOR,IFGL Refractories Ltd,Industrials,Industrial Machinery,1295.829502272,179.78,30.14959288673799,3.944820243591277,1.1705671152672514,-10.334164588528678,4.045372996122466
DEED,DEEDEV,DEE Development Engineers Ltd,Materials,Iron & Steel,1295.155232058,186.99,29.684969792757293,6.971374701403698,1.6177913637258454,-12.211267605633799,-0.34640801534852766
IVA,IVALUE,iValue Infosolutions Ltd,Information Technology,Software Services,1292.4635017,236.65,15.102401281841567,20.565441503358265,2.7973584003203267,-12.335617706982768,1.7193208682570384
JYOTI,JYOTIRES,Jyoti Resins and Adhesives Ltd,Materials,Commodity Chemicals,1291.08,1075.9,17.480097481722172,37.350189633375486,5.631510075896362,-3.0347923681256974,-1.1257639112254743
GPTI,GPTINFRA,GPT Infraprojects Ltd,Industrials,Construction & Engineering,1289.1716492,102.02,16.100557627076324,19.58539717483029,2.4964594291247098,-7.051749271137034,-3.6456365697015487
ASTE,ASTEC,Astec Lifesciences Ltd,Materials,Fertilizers & Agro Chemicals,1282.08677394,575.4,-9.51455861922078,-44.5800870097431,5.4554562526701,-19.122917984398068,-2.009536784741156
GTLI,GTLINFRA,GTL Infrastructure Ltd,Communication Services,Telecom Infrastructure,1280.9111895,1.0,-1.463647591270068,,-0.21487111695435573,-16.666666666666664,0.0
MAHA,MAHASTEEL,Mahamaya Steel Industries Ltd,Materials,Iron & Steel,1276.295504,776.6,168.37671556728083,4.96089531725519,8.186104188313772,-7.338026488485861,-1.9939424533064052
HMA,HMAAGRO,HMA Agro Industries Ltd,Consumer Staples,Packaged Foods & Meats,1275.46060419,25.47,14.694246592050744,11.21845616982774,1.574603842115009,-10.975183502271936,-3.0083777608530187
HMSD,HIMATSEIDE,Himatsingka Seide Ltd,Consumer Discretionary,Textiles,1272.134737813,101.17,16.727609964667995,4.234787063435491,0.6258257308216045,-12.52053610030264,-1.6238817580707912
ONEP,ONEPOINT,One Point One Solutions Ltd,Information Technology,Outsourced services,1267.541480523,48.21,38.225014491043424,12.176850763807288,3.1298866129759495,-16.2730114623133,-1.5720702327480525
PASH,PASHUPATI,Pashupati Cotspin Ltd,Consumer Discretionary,Textiles,1264.37732,801.05,89.60859815733517,7.176206121390182,10.608082221662894,-2.310975609756103,-0.6387993053832909
RAMA,RAMASTEEL,Rama Steel Tubes Ltd,Industrials,Building Products - Pipes,1263.0236357879999,7.72,55.51752245222043,6.317163246605318,3.3845797780850546,-18.220338983050844,-3.6204744069912613
HDFN,HDFCNIFTY,HDFC Nifty 50 ETF,ETF,Equity,1258.3952542,284.2,,,,-2.607861279599744,0.29644268774702676
PAU,PAUSHAKLTD,Paushak Ltd,Materials,Specialty Chemicals,1257.87236568,495.9,25.473316437424057,11.304815650004006,2.7022543248619737,-15.230769230769234,-2.793296089385475
SHRIR,SHRIRAMPPS,Shriram Properties Ltd,Real Estate,Real Estate,1257.72286904,73.7,16.29174700829012,5.8634989594568045,0.9275310799047192,-12.125909145105522,-2.2287078800742806
KROS,KROSS,Kross Ltd,Consumer Discretionary,Auto Parts,1255.482370964,194.62,26.144988983007067,16.521021124337725,2.8894211202596027,0.5944074016643437,0.9335131210455406
ANDA,ANDHRAPAP,Andhra Paper Ltd,Materials,Paper Products,1253.94932967,63.06,14.101994260796198,4.638461357892355,0.6460892142382384,-5.357946870778918,-0.3634065413177388
PLAT,PLATIND,Platinum Industries Ltd,Materials,Commodity Chemicals,1252.3969541459999,228.02,25.15863708609883,13.50680359783479,3.1584710837940078,-10.562855461855257,1.072695035461
IFBA,IFBAGRO,IFB Agro Industries Ltd,Consumer Staples,Alcoholic Beverages,1250.32197628,1334.8,55.96785927842443,3.844598373703906,2.051860929959302,-5.131485429992896,-0.9277814889037335
HTGR,HITECHGEAR,Hi-Tech Gears Ltd,Consumer Discretionary,Auto Parts,1245.05062625,662.5,30.848628004212035,8.49925768376277,2.5747060947742835,-6.690140845070423,-0.5105871752515359
MASTE,MASTERTR,Master Trust Ltd,Financials,Diversified Financials,1244.30684,99.06,9.481877924255132,22.90666620119044,1.9445636593789561,-17.360473846667222,-2.0662382600098894
