sid,ticker,name,sector,subindustry,market_cap,last_price,pe,roe,pb,4w_return_pct,1d_return_pct
TVEL,TVSELECT,TVS Electronics Ltd,Information Technology,Technology Hardware,758.50843306,398.6,-200.13415120316955,-3.9534762426328034,8.161269992037871,-15.191489361702123,-1.99164002950577
SGI,SGIL,Synergy Green Industries Ltd,Industrials,Industrial Machinery,755.001225,499.3,44.727560722748805,19.205825463647745,6.377776862645718,-6.664174221889902,2.789500772002061
NRAI,NRAIL,N R Agarwal Industries Ltd,Materials,Paper Products,752.4995065,438.6,42.61039108153978,2.3011570937141896,0.9714810499748255,-6.382070437566697,-0.8028949451543491
LICU,LICNFNHGP,LIC MF Nifty 100 ETF,ETF,Equity,747.930517182,281.98,,,,-2.765517241379304,0.4524242100388439
KAUN,KUANTUM,Kuantum Papers Ltd,Materials,Paper Products,747.58751821,85.97,6.49060182505644,9.858937925839685,0.6164602569534348,-8.053475935828878,0.350180926812183
ROB,ROBU,Macfos Ltd,Information Technology,Software Services,742.0454948,789.0,41.40878877232143,36.73260223429333,10.5644290261959,-2.6466777716083714,0.12690355329949238
RAJPL,RAJPALAYAM,Rajapalayam Mills Ltd,Consumer Discretionary,Textiles,740.935272,805.0,43.45661419354843,0.7387332349799928,0.32014279010884084,-2.8950542822677927,0.1742160278745616
OBS,OBSCP,OBSC Perfection Ltd,Consumer Discretionary,Auto Parts,740.90772,314.05,44.20690453460623,25.003729673280606,7.1247977690162525,-0.6013609748377836,3.6468646864686507
PARSH,YOGI,Yogi Ltd,Real Estate,Real Estate,740.6256,163.2,510.77627586205847,1.722499406034723,6.579829424307036,-1.2721893491124294,-4.8951048951048985
SHEV,SVLL,Shree Vasu Logistics Ltd,Industrials,Logistics,740.0218745,673.5,337.9095317351584,6.61132075471701,21.581273680373272,-4.1485803742973,4.605109885842972
INTB,INNOVANA,Innovana Thinklabs Ltd,Information Technology,Software Services,738.9049,350.1,16.73623782559456,23.387630777380483,3.499265485887479,-17.80725437257893,-2.1110023766251795
FABT,FABTECH,Fabtech Technologies Ltd,Health Care,Pharmaceuticals,738.505491516,171.35,15.898934155349835,30.460015082461727,4.26610531752065,-23.535186755321526,3.135909473937648
THEM,THEMISMED,Themis Medicare Ltd,Health Care,Pharmaceuticals,737.0772603600001,81.12,24.71754729577464,7.643605977494683,1.8307929964232492,-21.280931586608435,1.3619892540297431
TVTO,TVTODAY,TV Today Network Limited,Communication Services,TV Channels & Broadcasters,736.728389405,126.99,9.884991136522189,8.476060502672595,0.8266608200143624,-6.211225997045799,2.850894954239893
OMET,OMINFRAL,Om Infra Ltd,Industrials,Construction & Engineering,735.1832779060001,77.78,20.47864283860728,4.600735605080025,0.9286603818634264,-21.02751548380546,1.8862981399004424
DAV,DAVANGERE,Davangere Sugar Company Ltd,Consumer Staples,Sugar,732.155288576,4.67,66.92461504351004,3.1719338938822856,2.092948626653708,9.88235294117647,-8.789062500000002
KARN,KARNIKA,Karnika Industries Ltd,Consumer Discretionary,Textiles,731.5705,119.6,40.57518025513038,29.0525298098614,10.30235882270103,-1.927019270192709,1.3559322033898258
VEEF,VEEFIN,Veefin Solutions Ltd,Information Technology,Application Software,729.46183233,300.0,54.51882154932741,4.497101083942521,1.5562516423740747,-21.04224240031583,3.7703216879972246
EMKS,EMKAY,Emkay Global Financial Services Ltd,Financials,Investment Banking & Brokerage,726.926455965,286.55,12.791245046014426,20.891462181784767,2.39775194103968,8.254627880619578,2.138656211014079
TOWA,SHRADDHA,Shraddha Prime Projects Ltd,Real Estate,Real Estate,725.803965,182.0,29.45632974837664,35.832182069366674,9.002778032746216,-12.5210285988945,1.3080990815474502
PERM,PERMAGN,Permanent Magnets Ltd,Materials,Metals - Diversified,722.44202106,811.6,45.86933467047621,11.500967541713822,5.015565267009165,-1.1764705882352942,-3.403951440133304
ELIN,ELIN,Elin Electronics Ltd,Information Technology,Electronic Equipments,721.9457403600001,148.88,24.62297886630301,5.653355957040633,1.3515280535410081,-10.096618357487923,2.4074838354656762
DENTA,DENTA,Denta Water and Infra Solutions Ltd,Utilities,Water Management,720.099,271.1,13.61760590015128,18.454021985691863,1.7616238960784796,-21.420289855072458,0.519095291064158
AKSP,SUNRAKSHAK,Sunrakshakk Industries India Ltd,Consumer Discretionary,Textiles,718.736465,232.55,65.28033287920063,24.272486772486808,13.888627342995168,12.833575934012625,0.32355478861087145
STEL,STEL,STEL Holdings Ltd,Financials,Asset Management,718.46891665,435.55,45.27214345620666,0.974549340014554,0.40981599786099304,-20.98866213151927,11.88029797071667
DPE,DPEL,Divine Power Energy Ltd,Industrials,Cables,717.9957008,293.35,78.38381013100415,16.393736017897137,8.341028122676581,12.826923076923086,1.9993045897079276
DED,DEL,Dhanashree Electronics Ltd,Industrials,Electrical Components & Equipments,717.9381,144.25,206.89858789625362,8.636137381781982,17.13047244094489,-37.28260869565217,-4.973649538866938
KBRE,KABRAEXTRU,Kabra Extrusion Technik Ltd,Industrials,Industrial Machinery,716.173735608,225.4,22.234515231542986,7.046058604132264,1.5488521283072731,3.0305800612515403,10.069342709248952
VAKR,VAKRANGEE,Vakrangee Limited,Information Technology,Outsourced services,715.989784427,7.06,107.50597363768806,3.5635935577077307,3.3825756338971043,-10.858585858585862,6.80786686838123
CCON,CCCL,Consolidated Construction Consortium Ltd,Industrials,Construction & Engineering,715.261881051,16.19,8.161363316419445,77.10376984999779,3.580964659312105,-13.422459893048119,1.1242973141786365
LOT,LOTUSCHO,Lotus Chocolate Company Ltd,Consumer Staples,FMCG - Foods,713.9623244,667.2,41.46122673635317,33.77132771131587,11.99331974466655,-19.604771659236043,20.000000000000007
ANUH,ANUHPHR,Anuh Pharma Ltd,Health Care,Pharmaceuticals,713.795328,73.57,15.071691891891868,15.345484001620116,2.189354746495721,-7.178904870047957,3.2996349340072935
KERA,NITTAGELA,Nitta Gelatin India Ltd,Materials,Specialty Chemicals,713.5765802,795.5,8.500018823108993,21.315221531039736,1.6471839989843262,-3.341433778857837,1.215090018449005
